주차장명,주차장구분,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,관리기관명,전화번호
횡계의원 뒤 1주차장,공영,노외,강원도 평창군 대관령면 축제길 40,강원도 평창군 대관령면 횡계리 321-10,28,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 평창군청,033-330-2285
횡계의원 뒤 2주차장,공영,노외,강원도 평창군 대관령면 축제길 36,강원도 평창군 대관령면 횡계리 337-8,32,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 평창군청,033-330-2285
오삼불고기거리 주차장,공영,노외,강원도 평창군 대관령면 횡계2길 3-3,강원도 평창군 대관령면 횡계리 325-10,17,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 평창군청,033-330-2285
하이랜드 옆 1주차장,공영,노외,강원도 평창군 대관령면 횡계2길 331-28,강원도 평창군 대관령면 횡계리 331-28,32,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 평창군청,033-330-2285
하이랜드 옆 2주차장,공영,노외,강원도 평창군 대관령면 횡계2길 16,강원도 평창군 대관령면 횡계리 331-12,8,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 평창군청,033-330-2285
하이랜드 옆 3주차장,공영,노외,강원도 평창군 대관령면 눈마을길 57,강원도 평창군 대관령면 횡계리 331-47,11,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 평창군청,033-330-2285
흥일회관 앞 주차장,공영,노외,강원도 평창군 대관령면 횡계3길 3,강원도 평창군 대관령면 횡계리 665,6,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 평창군청,033-330-2285
용평생활관 앞 주차장,공영,노외,강원도 평창군 대관령면 횡계3길 14,강원도 평창군 대관령면 횡계리 331-1,30,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 평창군청,033-330-2285
횡계초등학교 앞 주차장,공영,노외,강원도 평창군 대관령면 꽃밭양지길 16-3,강원도 평창군 대관령면 횡계리 661-50,110,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 평창군청,033-330-2285
제칠안식교회 뒤 주차장,공영,노외,강원도 평창군 대관령면 눈마을길 27,강원도 평창군 대관령면 횡계리 314-24,51,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 평창군청,033-330-2285
로얄장 앞 주차장,민영,노외,강원도 평창군 평창읍 백오로 73,강원도 평창군 평창읍 하리 73-3,20,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 평창군청,033-330-2285
장평농협뒤 주차장,민영,노외,강원도 평창군 용평면 경강로 1667,강원도 평창군 용평면 장평리 365-6,9,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 평창군청,033-330-2285
노루목상회 옆,공영,노외,강원도 영월군 김삿갓면 김삿갓로 216-3,강원도 영월군 김삿갓면 와석리 921-3,32,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 영월군청,033-370-2356
조선민화박물관 출입구 주차장,공영,노외,강원도 영월군 김삿갓면 김삿갓로 432-10,강원도 영월군 김삿갓면 와석리 산 87-1,5,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 영월군청,033-370-2356
조양마을길 29-1 앞,공영,노외,강원도 영월군 남면 조양마을길 29-1,강원도 영월군 남면 연당리 937,5,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 영월군청,033-370-2356
조양마을길 27-1 옆,공영,노외,강원도 영월군 남면 조양마을길 27-1,강원도 영월군 남면 연당리 937,5,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 영월군청,033-370-2356
조양마을길 10-5 앞,공영,노외,강원도 영월군 남면 조양마을길 10-5,강원도 영월군 남면 연당리 937,5,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 영월군청,033-370-2356
조양마을길 35 노인회관 옆,공영,노외,강원도 영월군 남면 조양마을길 35,강원도 영월군 남면 연당리 937,4,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 영월군청,033-370-2356
조양마을길 19 앞,공영,노외,강원도 영월군 남면 조양마을길 19,강원도 영월군 남면 연당리 937,5,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 영월군청,033-370-2356
배일치재 쉼터,공영,노외,강원도 영월군 남면 서강로 1552-20,강원도 영월군 남면 북쌍리 산 243-2,8,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 영월군청,033-370-2356
마차중고 가는길,공영,노외,강원도 영월군 북면 문학로길 25-9,강원도 영월군 북면 마차리 산 182-1,5,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 영월군청,033-370-2356
마차중고 가는길,공영,노외,강원도 영월군 북면 봉래산로 991,강원도 영월군 북면 마차리 1180-22,6,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 영월군청,033-370-2356
김삿갓박물관 앞,공영,노외,강원도 영월군 김삿갓면 김삿갓로 216-22,강원도 영월군 김삿갓면 와석리 922,56,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 영월군청,033-370-2356
소양동사-강원공업사,공영,노상,강원도 춘천시 금강로 11,강원도 춘천시 소양로3가 175-5,20,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 춘천시청,033-250-3415
시청후문,공영,노상,강원도 춘천시 시청길 11,강원도 춘천시 옥천동 111-1,6,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 춘천시청,033-250-3415
효자동 메가시티,공영,노상,강원도 춘천시 춘천로 188,강원도 춘천시 효자동 654-3,20,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 춘천시청,033-250-3415
춘천시농협,공영,노상,강원도 춘천시 중앙로 37,강원도 춘천시 중앙로1가 73,6,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 춘천시청,033-250-3415
남부시장노상,공영,노상,강원도 춘천시 공지로 367,강원도 춘천시 효자동 684-11,4,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 춘천시청,033-250-3415
안생약국,공영,노상,강원도 춘천시 금강로 39,강원도 춘천시 낙원동 27-1,18,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 춘천시청,033-250-3415
요선동 이모집,공영,노상,강원도 춘천시 서부대성로48번길 20,"강원도 춘천시 요선동 14-5, 기업은행 뒤",8,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 춘천시청,033-250-3415
춘천교육문화관,공영,노상,강원도 춘천시 중앙로107번길 14,강원도 춘천시 중앙로107번길 14,17,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 춘천시청,033-250-3415
도농협옆,공영,노상,강원도 춘천시 중앙로 105,강원도 춘천시 중앙로3가 61,10,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 춘천시청,033-250-3415
농협마트,공영,노상,강원도 춘천시 중앙로 105,"강원도 춘천시 중앙로3가 61, 도지부 농협마트",9,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 춘천시청,033-250-3415
현대자동차앞,공영,노상,강원도 춘천시 공지로 359,강원도 춘천시 효자동 685,16,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 춘천시청,033-250-3415
하늘평안교회,공영,노상,강원도 춘천시 후석로 11-6,강원도 춘천시 석사동 802-3,25,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 춘천시청,033-250-3415
춘천시청 별관,공영,노외,강원도 춘천시 삭주로 3,강원도 춘천시 교동 36,185,평일+토요일+공휴일,09:30,18:30,09:30,18:30,09:30,18:30,혼합,강원도 춘천시청,033-250-3415
낙원아파트 앞,공영,노외,강원도 화천군 화천읍 아리 205-17,강원도 화천군 화천읍 아리 205-17,8,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,강원도 화천군청,033-440-2365
화천중고동문회,공영,노외,강원도 화천군 화천읍 상승로 79-17,강원도 화천군 화천읍 하리 78-1,12,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,강원도 화천군청,033-440-2365
화천교회 앞,공영,노외,강원도 화천군 화천읍 아리 213-4,강원도 화천군 화천읍 아리 213-4,13,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,강원도 화천군청,033-440-2365
사창리 공영주차장,공영,노외,강원도 화천군 사내면 사창리 420-6,강원도 화천군 사내면 사창리 420-6,13,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,강원도 화천군청,033-440-2365
KT&G,공영,노외,강원도 화천군 화천읍 하리 16-8,강원도 화천군 화천읍 하리 16-8,25,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,강원도 화천군청,033-440-2365
사창리 공영주차장(구 공인중개사),공영,노외,강원도 화천군 사내면 사창리 456-2,강원도 화천군 사내면 사창리 456-2,67,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,강원도 화천군청,033-440-2365
사창리 공영주차장(구CU마트),공영,노외,강원도 화천군 사내면 사창리 457-6,강원도 화천군 사내면 사창리 457-6,31,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,강원도 화천군청,033-440-2365
사창리 공영주차장(사창리 읍내안),공영,노외,강원도 화천군 사내면 사내로4길 3,강원도 화천군 사내면 사창리 454-18,61,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,강원도 화천군청,033-440-2365
산림조합 앞 주차장,공영,노외,강원도 화천군 화천읍 중앙로6길 21-2,강원도 화천군 화천읍 하리 51-6,20,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,강원도 화천군청,033-440-2365
화천시장주차장-1,공영,노외,강원도 화천군 화천ㄴ읍 중앙로 12-10,강원도 화천군 화천읍 하리 44-40,22,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,강원도 화천군청,033-440-2365
화천시장주차장-2,공영,노외,강원도 화천군 화천읍 중앙로4길 29-9,강원도 화천군 화천읍 하리 51-28,9,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,강원도 화천군청,033-440-2365
하리공영주차장-1,공영,노외,강원도 화천군 화천읍 중앙로5길 8,강원도 화천군 화천읍 하리 47-12,16,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,강원도 화천군청,033-440-2365
하리공영주차장-2,공영,노외,강원도 화천군 화천읍 하리 16-8,강원도 화천군 화천읍 하리 16-8,53,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,강원도 화천군청,033-440-2365
형제사 옆,공영,노외,강원도 화천군 화천읍 하리 101-7,강원도 화천군 화천읍 하리 101-7,6,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,강원도 화천군청,033-440-2365
마포갈비앞,공영,노외,강원도 화천군 화천읍 하리 34-6,강원도 화천군 화천읍 하리 34-6,9,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,강원도 화천군청,033-440-2365
전광판~회전교차로,공영,노상,강원도 화천군 화천읍 하리 43-64,강원도 화천군 화천읍 하리 43-64,71,평일+토요일+공휴일,09:00,18:00,00:00,18:00,09:00,18:00,유료,강원도 화천군청,033-440-2365
속초식당~오성이발소,공영,노상,강원도 화천군 화천읍 아리 256-23,강원도 화천군 화천읍 아리 256-23,24,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,강원도 화천군청,033-440-2365
대동목욕탕~삼성화재,공영,노상,강원도 화천군 화천읍 아리 43-3,강원도 화천군 화천읍 아리 43-3,18,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,강원도 화천군청,033-440-2365
화천농협뒤,공영,노외,강원도 화천군 화천읍 중앙로3길 12,강원도 화천군 화천읍 하리 45-2,30,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,강원도 화천군청,033-440-2365
청기와집 옆,공영,노외,강원도 화천군 화천읍 아리 248-2,강원도 화천군 화천읍 아리 248-2,8,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,강원도 화천군청,033-440-2365
화천순두부집 옆,공영,노외,강원도 화천군 화천읍 아리 245-21,강원도 화천군 화천읍 아리 245-21,8,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,강원도 화천군청,033-440-2365
경찰서뒤,공영,노외,강원도 화천군 화천읍 중리 249-20,강원도 화천군 화천읍 중리 249-20,13,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,강원도 화천군청,033-440-2365
영진빌라앞,공영,노외,강원도 화천군 화천읍 중리 252-12,강원도 화천군 화천읍 중리 252-12,5,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,강원도 화천군청,033-440-2365
산천어공방~지적공사,공영,노상,강원도 화천군 화천읍 중리 258,강원도 화천군 화천읍 중리 258,37,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,강원도 화천군청,033-440-2365
화천중기 앞,공영,노외,강원도 화천군 화천읍 중리 254-9,강원도 화천군 화천읍 중리 254-9,7,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,강원도 화천군청,033-440-2365
강원일보,공영,노상,강원도 춘천시 중앙로 31,강원도 춘천시 중앙로1가 60-1,18,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 춘천시청,033-250-3415
계림탕,공영,노상,강원도 춘천시 금강로 119,"강원도 춘천시 운교동 179-7, 바우연못 주변",17,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 춘천시청,033-250-3415
후평2동사무소-한신A,공영,노상,강원도 춘천시 부안길6번길 45,강원도 춘천시 후평동 792-1,33,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 춘천시청,033-250-3415
후평3동사무소뒤,공영,노상,강원도 춘천시 후만로 83,강원도 춘천시 후평동 805-1,12,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 춘천시청,033-250-3415
후평3-4단지아파트,공영,노상,강원도 춘천시 대양당길 23,강원도 춘천시 후평동 803-2,79,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 춘천시청,033-250-3415
토우시장뒤,공영,노상,강원도 춘천시 춘천로309번길 8,강원도 춘천시 후평동 705-3,20,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 춘천시청,033-250-3415
구)지성병원건너,공영,노상,강원도 춘천시 소양로183번길 8,강원도 춘천시 소양로1가 96-18,29,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 춘천시청,033-250-3415
한신아파트상가앞,공영,노상,강원도 춘천시 부평길8번길 1,강원도 춘천시 후평동 833-9,12,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 춘천시청,033-250-3415
시민회관뒤,공영,노상,강원도 춘천시 서부대성로47번길 16,강원도 춘천시 요선동 2-12,9,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 춘천시청,033-250-3415
삼보장-소양성결교회,공영,노상,강원도 춘천시 서부대성로43번길 4,"강원도 춘천시 요선동 5-10, 오띠모 모텔",8,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 춘천시청,033-250-3415
한답모퉁이 주차장,공영,노외,강원도 평창군 봉평면 평촌리 602,강원도 평창군 봉평면 평촌리 산1-5,10,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 평창군청,033-330-2285
횡계천둔치주차장,공영,노외,강원도 평창군 대관령면 사부랑길 7,강원도 평창군 대관령면 횡계리 661,46,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 평창군청,033-330-2285
봉평전통시장 주차장,공영,노외,강원도 평창군 봉평면 애강나무길 109,강원도 평창군 봉평면 창동리 413,57,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 평창군청,033-330-2285
하리공영주차장-2,공영,노외,강원도 화천군 화천읍 하리 16-8,강원도 화천군 화천읍 하리 16-8,53,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,강원도 화천군청,033-440-2365
전통시장 공영주차장,공영,노외,강원도 원주시 자유시장길 52,강원도 원주시 평원동 187-3,106,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 원주시청,033-737-3544
학성동 노상주차장,공영,노상,강원도 원주시 원일로 160,강원도 원주시 학성동 207-1,51,평일,08:00,20:00,00:00,00:00,00:00,00:00,유료,강원도 원주시청,033-737-3544
무실동 공영주차장,공영,노상,강원도 원주시 능라동길 70,강원도 원주시 무실동 1855-4,165,평일,08:00,20:00,00:00,00:00,00:00,00:00,유료,강원도 원주시청,033-737-3544
척주로 주차장,공영,노상,강원도 삼척시 척주로 6,강원도 삼척시 남양동 33-8,80,평일,09:00,18:00,23:59,23:59,23:59,23:59,유료,강원도 삼척시청,033-570-3935
중앙로 주차장,공영,노상,강원도 삼척시 중앙로 226,강원도 삼척시 남양동 349-1,64,평일,09:00,18:00,23:59,23:59,23:59,23:59,무료,강원도 삼척시청,033-570-3935
가고파앞(진주로) 주차장,공영,노외,강원도 삼척시 진주로 44,강원도 삼척시 남양동 32-9,40,평일,09:00,18:00,23:59,23:59,23:59,23:59,유료,강원도 삼척시청,033-570-3935
중앙시장 제2주차장,공영,노외,강원도 삼척시 중앙시장길 4,강원도 삼척시 남양동 100-8,25,평일,09:00,18:00,23:59,23:59,23:59,23:59,유료,강원도 삼척시청,033-570-3935
삼척고등학교 주차장,공영,노상,강원도 삼척시 사대안길 16,강원도 삼척시 남양동 23-11,12,평일,09:00,18:00,23:59,23:59,23:59,23:59,유료,강원도 삼척시청,033-570-3935
삼척고등학교 주차장,공영,노외,강원도 삼척시 사대안길 9,강원도 삼척시 남양동 24-3,23,평일,09:00,18:00,23:59,23:59,23:59,23:59,유료,강원도 삼척시청,033-570-3935
강변아파트 뒤 노상주차장,공영,노상,강원도 평창군 평창읍 서동로 2543-6,강원도 평창군 평창읍 중리 270-9,18,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 평창군청,033-330-2285
남산로 노상주차장,공영,노상,강원도 평창군 대화면 대화중앙로 112,강원도 평창군 대화면 대화리 990-1,18,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 평창군청,033-330-2285
kt앞 노상 주차장,공영,노상,강원도 평창군 대화면 남산2길 5,강원도 평창군 대화면 대화리 1169-1,17,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 평창군청,033-330-2285
중앙로 노상주차장,공영,노상,강원도 평창군 진부면 진부중앙로 94,강원도 평창군 진부면 하진부리 90-6,187,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 평창군청,033-330-2285
금파정 옆 노상주차장,공영,노상,강원도 평창군 미탄면 미탄중앙로 54,강원도 평창군 미탄면 창리 778-12,15,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 평창군청,033-330-2285
메달플라자 주차장,공영,노상,강원도 평창군 대관령면 해당화3길 24,강원도 평창군 대관령면 횡계리 707,39,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 평창군청,033-330-2285
대관령성당앞 주차장,공영,노상,강원도 평창군 대관령면 눈마을길 47,강원도 평창군 대관령면 횡계리 339-1,6,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 평창군청,033-330-2285
천변리 주차장,공영,노외,강원도 평창군 평창읍 천변길 56,강원도 평창군 평창읍 천변리 46,230,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 평창군청,033-330-2285
우체국 뒤 주차장,공영,노외,강원도 평창군 평창읍 평창중앙로 66,강원도 평창군 평창읍 하리 428,23,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 평창군청,033-330-2285
평창 중리 주차장,공영,노외,강원도 평창군 평창읍 노성로 266,강원도 평창군 평창읍 중리 105-2,25,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 평창군청,033-330-2285
문화복지센터 주차장,공영,노외,강원도 평창군 평창중앙로 67,강원도 평창군 평창읍 하리 113-1,44,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 평창군청,033-330-2285
터미널 뒤 주차장,공영,노외,강원도 평창군 평창읍 백오1길 14,강원도 평창군 평창읍 하리 434-2,43,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 평창군청,033-330-2285
군청 앞 주차장,공영,노외,강원도 평창군 평창읍 군청길 77,강원도 평창군 평창읍 하리 220-1,80,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 평창군청,033-330-2285
방범대 앞 주차장,공영,노외,강원도 평창군 평창읍 백오로 150,강원도 평창군 평창읍 중리 334-2,18,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 평창군청,033-330-2285
소방서 앞 주차장,공영,노외,강원도 평창군 노성로 145,강원도 평창군 평창읍 중리 340,9,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 평창군청,033-330-2285
평창교회 앞 주차장,공영,노외,강원도 평창군 평창읍 노산성길 56,강원도 평창군 평창읍 중리 361,13,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 평창군청,033-330-2285
노성산 주차장,공영,노외,강원도 평창군 평창읍 평창중앙로 158-8,강원도 평창군 평창읍 하리 19,50,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 평창군청,033-330-2285
청옥막국수 옆 주차장,공영,노외,강원도 평창군 평창읍 송학로 27-5,강원도 평창군 평창읍 하리 58-28,20,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 평창군청,033-330-2285
백오아파트 뒤 주차장,공영,노외,강원도 평창군 평창읍 노람들길 18,강원도 평창군 평창읍 중리-358,16,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 평창군청,033-330-2285
본전갈비 앞 주차장,공영,노외,강원도 평창군 평창읍 천변길 23,강원도 평창군 평창읍 하리 44-2,24,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,강원도 평창군청,033-330-2285
