시장명,소재지도로명주소,소재지지번주소,사용가능상품권,공중화장실 보유여부,주차장 보유여부
영오시장,경상남도 고성군 영오면 영희로 527-9,경남 고성군 영오면 영산리 232-3번지,없음,Y,N
배둔시장,경상남도 고성군 회화면 배둔리 826-2,경남 고성군 회화면 배둔리 825-46번지,없음,Y,N
장유전통시장(장유중앙시장),경상남도 김해시 무계동 189-3,경남 김해시 장유면 무계리 189-3번지,온누리상품권,Y,Y
삼방전통시장,경상남도 김해시 삼방동 669-1,경남 김해시 삼방동 673-6번지,온누리상품권,N,Y
외동전통시장,경상남도 김해시 외동 1254-2,경남 김해시 외동 1252-1번지,온누리상품권,N,Y
진례전통시장,경상남도 김해시 진례면 송정리 239-3,경남 김해시 진례면 송정리 239-3번지,온누리상품권,Y,Y
진영전통시장,경상남도 김해시 진영읍 진영리 235-16,경남 김해시 진영읍 진영리 235-16번지,온누리상품권,Y,Y
김해전통시장(김해동상시장),경상남도 김해시 호계로 517번길 5-13,경남 김해시 동상동 881번지,온누리상품권,Y,Y
고현공설시장,경상남도 남해군 고현면 탑동로 68-2,경남 남해군 고현면 대사리 768 ,없음,Y,N
남면공설시장,경상남도 남해군 남면 당항리 1381-5,경남 남해군 남면 당항리 1381-5번지,없음,Y,Y
남해전통시장,경상남도 남해군 남해읍 화전로 110,경남 남해군 남해읍 북변리 282-11번지,온누리상품권,Y,Y
이동시장(이동공설시장),경상남도 남해군 이동면 무림로 63번길 9,경남 남해군 이동면 무림리 1038-3번지,없음,Y,Y
내일전통시장,경상남도 밀양시 내일동 174-9,경남 밀양시 내일동 174-9번지,온누리상품권,Y,Y
밀양아리랑시장,경상남도 밀양시 내일동 583-1,경남 밀양시 내일동 583-1번지,온누리상품권,Y,Y
무안시장(무안임시시장),경상남도 밀양시 무안리 910-1,경남 밀양시 무안면 무안리 910-1번지,온누리상품권,Y,N
송백시장,경상남도 밀양시 산내면 산내로 350,경남 밀양시 산내읍 송백리 1330-1번지,온누리상품권,Y,N
송지시장,경상남도 밀양시 삼랑진읍 송지리 359-15,경남 밀양시 삼랑진읍 송지리 359-15번지,온누리상품권,Y,Y
수산시장,경상남도 밀양시 하남읍 수산리 815-16,경남 밀양시 하남읍 수산리 815-16번지,온누리상품권,N,N
완사시장,경상남도 사천시 곤명면 완사1길 33-11,경남 사천시 곤명면 정곡리 842,없음,Y,Y
곤양종합시장,경상남도 사천시 곤양면 남문외리 48-4,경남 사천시 곤양면 남문외리 48-4번지,없음,Y,Y
삼천포종합시장,경상남도 사천시 동금동 88-4,경남 사천시 동금동 88-4번지,온누리상품권,Y,Y
"삼천포용궁수산시장(구,삼천포서부시장))",경상남도 사천시 동동 485-2,경남 사천시 동동 485-2번지,온누리상품권,Y,Y
사천읍시장,경상남도 사천시 사천읍 장의리 393-2,경남 사천시 사천읍 정의리 392-2번지,온누리상품권,Y,Y
서포시장,경상남도 사천시 서포면 구평리 644-3,경남 사천시 서포면 구평리 644-3번지,없음,Y,Y
삼천포중앙시장,경상남도 사천시 선구동 17-4,경남 사천시 선구동 17-4번지,온누리상품권,Y,Y
단성시장,경상남도 산청군 단성면 상대리 178,경남 산청군 단성면 성내리 178번지 외 ,없음,Y,Y
덕산시장,경상남도 산청군 사천면 931-3,경남 산청군 시천면 사리 931-3번지,온누리상품권,Y,Y
산청시장,경상남도 산청군 산천읍 산청리 251-2,경남 산청군 산청읍 산청리 251-2번지 ,온누리상품권,Y,Y
생초시장,경상남도 산청군 생초면 어서리 259-14,경남 산청군 생초면 어서리 259-14번지 ,온누리상품권,Y,Y
단계시장,경상남도 산청군 신등면 단계리 784,경남 산청군 신등면 단계리 784번지,없음,Y,Y
덕계종합상설시장,경상남도 양산시 덕계동 754-1,경남 양산시 덕계동 754-1번지,온누리상품권,Y,Y
양산북부시장,경상남도 양산시 북부동 148-19,경남 양산시 북부동 148-19번지,온누리상품권,Y,Y
서창시장,경상남도 양산시 삼호동 524,경남 양산시 삼호동 524번지,온누리상품권,Y,Y
석계시장,경상남도 양산시 상북면 석계리 34-9,경남 양산시 상북면 석계리 34-9번지,없음,Y,N
양산남부시장상가,경상남도 양산시 중부동 420-11,경남 양산시 중부동 420-11번지,온누리상품권,Y,Y
양산남부시장,경상남도 양산시 중부동 423-5,경남 양산시 중부동 423-5번지,온누리상품권,Y,Y
신평시장,경상남도 양산시 하북면 순지리 575,경남 양산시 하북면 순지리 575번지,없음,Y,N
신반시장,경상남도 의령군 의령읍 신반리 519-3,경남 의령군 부림면 신반리 519-3,없음,Y,Y
의령시장,경상남도 의령군 의령읍 중동 386,경남 의령군 의령면 중동 386,온누리상품권,Y,Y
금곡시장,경상남도 진주시 금곡면 두문리 632,경남 진주시 월아산로 115번길 26,없음,Y,N
대곡시장,경상남도 진주시 대곡면 광서리 321번지,경남 진주시 대곡면 광석리 321번지,없음,Y,N
진주중앙시장,경상남도 진주시 대안동 8-600,경남 진주시 대안동 8-600번지,온누리상품권,Y,Y
문산시장,경상남도 진주시 문산읍 소문리 112,경남 진주시 문산읍 소문리 112번지,온누리상품권,Y,Y
서부시장,경상남도 진주시 봉곡동 31번지,경남 진주시 봉곡동 31번지,온누리상품권,Y,N
동부종합상가,경상남도 진주시 상대동 193-1,경남 진주시 상대동 193-1번지,없음,Y,N
자유시장,경상남도 진주시 상대동 276-17,경남 진주시 상대동 276-9번지,온누리상품권,Y,Y
평거한보하이타운,경상남도 진주시 순환로 553번길 7,경남 진주시 평거동 301-1번지,없음,Y,Y
이현종합상가,경상남도 진주시 이현동 21-3,경남 진주시 이현동 21-3번지,없음,Y,Y
일반성상가(일반성시장),경상남도 진주시 일반성면 창촌리 92번지,경남 진주시 일반성면 창촌리 92번지,없음,Y,Y
진주장대시장,경상남도 진주시 장대동 58-8,경남 진주시 장대동 58-8번지,온누리상품권,Y,N
진주동성상가,경상남도 진주시 진주대로 901,경남 진주시 강남동 219번지,온누리상품권,Y,Y
천전시장,경상남도 진주시 칠암동 306-1,경남 진주시 칠암동 306-1번지,없음,Y,N
남지시장,경상남도 창녕군 남지읍 본동길 4,경남 창녕군 남지읍 남지리 531,없음,Y,Y
영산시장,경상남도 창녕군 영산면 신영산로56,경남 창녕군 영산면 성내리 516-4,온누리상품권,Y,Y
이방정기시장,경상남도 창녕군 이방면 이방대합로351,경남 창녕군 이방면 거남리 430-5,없음,Y,N
창녕상설시장,경상남도 창녕군 창녕읍 164-38,경남 창녕군 창녕읍 45-1,없음,Y,N
창녕시장,경상남도 창녕군 창녕읍 술정리 44-1,경남 창녕군 창녕읍 술정리 44-1,없음,Y,N
정우새어시장,경상남도 창원시 마산 합포구 동성동 313,경남 창원시 마산합포구동성동 313번지,온누리상품권,Y,Y
마산어시장,경상남도 창원시 마산합포구 동성동 314,경남 창원시 마산합포구동성동 314번지,온누리상품권,Y,Y
신마산반월시장(반월시장),경상남도 창원시 마산합포구 반월동 85,경남 창원시 마산합포구반월동 85번지,온누리상품권,Y,N
부림시장,경상남도 창원시 마산합포구 부림동 32,경남 창원시 마산합포구부림동 32번지,온누리상품권,Y,Y
부림상시장,경상남도 창원시 마산합포구 부림동 83,경남 창원시 마산합포구부림동 83번지,온누리상품권,Y,Y
산호시장,경상남도 창원시 마산합포구 산호동 28-28,경남 창원시 마산합포구산호동 28-28번지,온누리상품권,Y,Y
북마산중앙시장,경상남도 창원시 마산합포구 상남동 40-1,경남 창원시 마산합포구상남동 40-1번지,온누리상품권,Y,N
기산프라자,경상남도 창원시 마산합포구 오동동 14길 29,경남 창원시 마산합포구오동동 18-61번지,온누리상품권,Y,Y
진동시장,경상남도 창원시 마산합포구 진동리237-11,경남 창원시 마산합포구진동면 진동리 237-11번지,없음,Y,Y
진동전통시장,경상남도 창원시 마산합포구 진동면 진동시장길 62,경남 창원시 마산합포구진동면 진동리 264-3번지,없음,Y,N
대동씨코아상가시장,경상남도 창원시 마산합포구 해운동 37-4,경남 창원시 마산합포구해운동 37-4번지,온누리상품권,Y,Y
신마산시장,경상남도 창원시 마산합포구 해운동64,경남 창원시 마산합포구해운동 64번지,온누리상품권,Y,Y
구암현대시장,경상남도 창원시 마산회원구 구암1동 18-2번지,경남 창원시 마산회원구구암1동 18-1번지,온누리상품권,Y,N
구암시장,경상남도 창원시 마산회원구 구암2동 88-2,경남 창원시 마산회원구구암2동 88-2번지,온누리상품권,Y,Y
코오롱타운상가,경상남도 창원시 마산회원구 내서읍 호계리 10,경남 창원시 마산회원구내서읍 호계리 10번지,온누리상품권,Y,Y
석전시장,경상남도 창원시 마산회원구 석전 2동 257-1,경남 창원시 마산회원구석전2동 257-1번지,온누리상품권,Y,Y
역전통합시장,경상남도 창원시 마산회원구 석전2동 226-2,경남 창원시 마산회원구석전2동 226-2번지,온누리상품권,Y,Y
마산역번개시장,경상남도 창원시 마산회원구 석전2동 227-1,경남 창원시 마산회원구석전2동 227-1번지,온누리상품권,Y,N
서마산시장,경상남도 창원시 마산회원구 석전동 155-9,경남 창원시 마산회원구석전동 155-9번지,온누리상품권,Y,N
양덕중앙시장,경상남도 창원시 마산회원구 양덕1동 15-1,경남 창원시 마산회원구양덕1동 15-1번지,온누리상품권,Y,N
경민인터빌상가,경상남도 창원시 마산회원구 양덕1동 15-27,경남 창원시 마산회원구양덕동 양덕1동 15-27,온누리상품권,Y,Y
합성동상가,경상남도 창원시 마산회원구 합성2동 125-3,경남 창원시 마산회원구합성2동 125-3번지,온누리상품권,Y,N
동마산시장,경상남도 창원시 마산회원구 항성2동 326-1,경남 창원시 마산회원구합성2동 326-1번지,온누리상품권,Y,Y
회성종합시장,경상남도 창원시 마산회원구 회성동 450-2,경남 창원시 마산회원구화성동 450-2번지,온누리상품권,Y,Y
가음정시장,경상남도 창원시 성산구 가음성동 21-24,경남 창원시 성산구가음정동 21-24번지,온누리상품권,Y,Y
성원3차상가,경상남도 창원시 성산구 대방동 355,경남 창원시 성산구대방동 355번지,온누리상품권,Y,N
대동훼미리코아상가,경상남도 창원시 성산구 대정로 138(대방동358),경남 창원시 성산구대방동 358번지,온누리상품권,Y,N
대방덕산1차상가,경상남도 창원시 성산구 대정로131 (대방동),경남 창원시 성산구대방동 356번지,온누리상품권,Y,N
성원그랜드쇼핑,경상남도 창원시 성산구 동산로 124,경남 창원시 성산구상남동 45-1번지,온누리상품권,Y,Y
상남시장(상남시장(상설+5일장)),경상남도 창원시 성산구 마디미로28,경남 창원시 성산구상남동 16번지,온누리상품권,Y,Y
반송시장,경상남도 창원시 성산구 만림동 17-13,경남 창원시 성산구반림동 17-13번지,온누리상품권,Y,Y
대동그린코아상가,경상남도 창원시 성산구 만지동 23,경남 창원시 성산구반지동 23번지,온누리상품권,Y,Y
사파동성종합상가,경상남도 창원시 성산구 사파동 93,경남 창원시 성산구사파동 93번지,온누리상품권,Y,Y
창원코아상가,경상남도 창원시 성산구 상남 73-4,경남 창원시 성산구상남동 73-4번지,온누리상품권,Y,Y
경창상가,경상남도 창원시 성산구 상남로 67(상남ㄴ동),경남 창원시 성산구상남동 73-5번지,온누리상품권,Y,Y
양곡시장,경상남도 창원시 성산구 신촌동 33-2,경기 김포시 양촌읍 414-3,온누리상품권,Y,Y
유신종합상가,경상남도 창원시 성산구 신촌로 21,경남 창원시 성산구신촌동 15-6번지,온누리상품권,Y,Y
가음시장대상가,경상남도 창원시 성산구 원이대로 883번길 15-24,경남 창원시 성산구가음동 21-20번지,온누리상품권,Y,Y
창원캔버라상가,경상남도 창원시 성산구 중앙대로 61번길 4,경남 창원시 성산구중앙동 97-6번지,없음,Y,Y
중앙시장(구창원중앙시장),경상남도 창원시 성산구 중앙동 69-1,경남 창원시 성산구중앙동 69-1번지,없음,Y,N
동성올림픽타운,경상남도 창원시 성산구 중앙동 97-2,경남 창원시 성산구중앙동 97-2번지,없음,Y,Y
그린피아상가,경상남도 창원시 성산구 중앙동 981-6,경남 창원시 성산구중앙동 98-6번지,없음,Y,Y
명곡종합상가,경상남도 창원시 의창구 명서동 75-16,경남 창원시 의창구명서동 75-16번지,온누리상품권,Y,Y
봉곡시장,경상남도 창원시 의창구 봉곡동 145-1,경남 창원시 의창구봉곡동 145-1번지,온누리상품권,Y,Y
봉곡진보프라자(봉곡진보프라자상가),경상남도 창원시 의창구 봉곡동 61-10,경남 창원시 의창구봉곡동 61-10번지,온누리상품권,Y,Y
소답시장,경상남도 창원시 의창구 북동 246-6,경남 창원시 의창구북동 246-6,온누리상품권,Y,N
소계시장,경상남도 창원시 의창구 소계로 83-6,경남 창원시 의창구소계동 724-4번지,온누리상품권,Y,N
토월복합상가,경상남도 창원시 의창구 신월동 68-1,경남 창원시 의창구신월동 68-1번지,없음,Y,Y
롯데종합상가,경상남도 창원시 의창구 용지로 225번지,경남 창원시 의창구용호동 63번지,없음,Y,Y
도계시장,경상남도 창원시 의창구 원의대로 69번길 20,경남 창원시 의창구도계동 400-1번지,온누리상품권,Y,N
명서시장,경상남도 창원시 의창구 원이대로 189번길 37-3,경남 창원시 의창구명서동 48-9번지,온누리상품권,Y,Y
북동공설시장,경상남도 창원시 의창구 의안로 49번길 30,경남 창원시 의창구북동 249-1번지,없음,Y,Y
대동중앙상가,경상남도 창원시 의창구 팔용동 124-2,경남 창원시 의창구팔용동 124-2번지,온누리상품권,Y,Y
창원기계공구상가,경상남도 창원시 의창구 팔용동 16-1,경남 창원시 의창구팔용동 16-1번지,없음,Y,Y
진해중부시장,경상남도 창원시 진해구 경화동 1164-1번지,경남 창원시 진해구경화동 1164-1번지,온누리상품권,Y,Y
경화시장,경상남도 창원시 진해구 경화동 906,경남 창원시 진해구경화동 906번지,온누리상품권,Y,Y
웅천시장,경상남도 창원시 진해구 성내동 327번지,경남 창원시 진해구성내동 327번지,없음,Y,N
마천시장,경상남도 창원시 진해구 웅동로 57번가길 7(마천동),경남 창원시 진해구마천동 134-6번지,없음,Y,Y
진해중앙시장,경상남도 창원시 진해구 화천동 60,경남 창원시 진해구화천동 60번지,온누리상품권,Y,Y
합성옛길시장,경상남도 창원시 합성옛길 81,경남 창원시 합성동 732-7 ,없음,N,N
북신시장,경상남도 통영시 북신동 665-16,경남 통영시 북신동 665-16,온누리상품권,Y,Y
서호시장,경상남도 통영시 서호동 177-417,경남 통영시 서호동 177-417,온누리상품권,Y,N
중앙전통시장,경상남도 통영시 중앙동 139-71,경남 통영시 중앙동 38-4,온누리상품권,Y,N
계천공설시장(계천시장),경상남도 하동군 금남면 계천리 355-3,경남 하동군 금남면 계천리 355-3,없음,Y,Y
북천공설시장,경상남도 하동군 북천면 직전리 597-1,경남 하동군 북천면 직전리 597-1,없음,Y,Y
악양공설시장,경상남도 하동군 악양동로 368,경남  하동군 악양면 정서리 271-7,없음,Y,N
옥종공설시장,경상남도 하동군 옥종면 옥종 시장길5,경남 하동군 옥종면 청룡리 124-15,없음,Y,N
하동공설시장(구하동시장),경상남도 하동군 윤내리 249,경남 하동군 하동읍 읍내리 249,온누리상품권,Y,Y
진교공설시장,경상남도 하동군 진교면 진교리302-4,경남 하동군 진교면 진교리 302-4,온누리상품권,Y,Y
화개장터,경상남도 하동군 화개면 쌍계로 21,경남 하동군 화개면 탑리 726-8,온누리상품권,Y,Y
횡천공설시장(횡천시장),경상남도 하동군 황천면 황천리 507-2,경남 하동군 횡천면 횡천리 507-2,없음,Y,N
가야상설시장(구가야시장),경상남도 함안군 가야읍 가야8길 8,경남 함안군 가야읍 말산리 470-1,온누리상품권,Y,Y
군복공설시장,경상남도 함안군 군복면 중암리 83-10,경남 함안군 군북면 중암리 83-10,없음,Y,Y
대산공설시장,경상남도 함안군 대산면 구혜리 221-3,경남 함안군 대산면 구혜리 221-3,온누리상품권,Y,Y
칠원공설시장,경상남도 함안군 칠원면 서남3길 14,경남 함안군 칠원면 구성리 732,온누리상품권,Y,Y
마천전통시장,경상남도 함양군 마천면 가흥리 609-2,경남 함양군 마천면 가흥리 609-2,없음,Y,Y
서상전통시장(서상시장),경상남도 함양군 서상면 도천리 1074-5,경남 함양군 서상면 도천리 1074-5,없음,Y,Y
안의시장,경상남도 함양군 안외면 석천리 243,경남 함양군 안의면 석천리 243,없음,Y,Y
함양토종약초시장,경상남도 함양군 안의면 이전리 15,경남 함양군 안의면 이전리 15번지,없음,Y,Y
함양중앙상설시장,경상남도 함양군 함양읍 용평리 607-104,경남 함양군 함양읍 용평리 607-104,온누리상품권,Y,Y
가야시장,경상남도 합천군 가야면 환산리 279-11,경남 합천군 가야면 황산리 279-11번지 외 3필지,없음,Y,Y
삼가시장,경상남도 합천군 삼가면 일부리 921-1,경남 합천군 삼가면 일부리 921-1,없음,Y,Y
야로시장,경상남도 합천군 야도면 구정리 273-4,경남 합천군 야로면 구정리 273-4,없음,Y,Y
초계시장,경상남도 합천군 초계면 초계리 50-1,경남 합천군 초계면 초계리 50-1번지 외 4필지,없음,Y,Y
합천시장,경상남도 합천군 합천읍 합천리 473-1,경남 합천군 합천읍 합천리 473-1번지,온누리상품권,Y,Y
경산공설시장,경상북도 경산시 경안로 31길 19,경북 경산시 서상동 10,온누리상품권,Y,Y
자인공설시장,경상북도 경산시 자인면 자인시장길 7-1,경북 경산시 자인면 서부리 254,온누리상품권,Y,Y
하양공설시장,경상북도 경산시 하양읍 금각리 35-6,경북 경산시 하양읍 금락리35-6,온누리상품권,Y,Y
감포시장,경상북도 경주시 감포읍 감포리,경북 경주시 감포읍 감포리436-1,온누리상품권,Y,Y
경주중심상가시장,경상북도 경주시 계림로 99,경북 경주시 노동동 140-1,온누리상품권,Y,Y
경주중앙시장,경상북도 경주시 금성로 295,경북 경주시 성건동 399-2,온누리상품권,Y,Y
북부상가시장,경상북도 경주시 금성로 396번길 7,경북 경주시 성진동 629-10,없음,Y,Y
북정로중심상가시장,경상북도 경주시 북정로 15,경북 경주시 황오동 242-4 ,없음,N,N
불국시장,경상북도 경주시 불국장터리 24,경북 경주시 구정동 430,없음,Y,N
산내시장,경상북도 경주시 산내면 미곡중앙길 27,경북 경주시 산내동 의곡리155-10,없음,Y,N
서면시장,경상북도 경주시 서면 내서로 401-5,경북 경주시 서면 아화리240-2,없음,Y,Y
안강공설시장,경상북도 경주시 안강읍 비화중로 3길 26-3,경북 경주시 안강읍 양월리 1350-1,온누리상품권,Y,Y
양남시장,경상북도 경주시 양남면 해변공원길 73,경북 경주시 양남면 하서리1644-2,온누리상품권,Y,Y
양북시장,경상북도 경주시 양북면 감은로 53-1,경북 경주시 양북면 어일리1295-180,온누리상품권,Y,Y
경주성동공설시장,경상북도 경주시 원화로 281번길 11,경북 경주시 성동 51-1,온누리상품권,Y,Y
제2경주중심상가시장,경상북도 경주시 원효로 89,경북 경주시 노동동 230,온누리상품권,N,N
외동시장,경상북도 경주시 의동읍 입실 시장길 8-3,경북 경주시 외동 임실리1020,없음,Y,Y
불국사상가시장,경상북도 경주시 진현로 1길 59-9,경북 경주시 진현동 66-5,없음,Y,N
고령대가야시장,경상북도 고령군 대가야읍 시장3길 29,경북 고령군 고령읍 시장길29(지산리222-2),온누리상품권,Y,Y
구미공단종합시장,경상북도 구미시 공단동 107,경북 구미시 공단동 107,온누리상품권,Y,Y
제일시장상가,경상북도 구미시 공단동 264-18,경북 구미시 공단동 264-18,온누리상품권,Y,Y
구미파크시장,경상북도 구미시 도량동 77,경북 구미시 도량동 77,온누리상품권,Y,Y
선산종합시장,경상북도 구미시 선산읍 완전리 253,경북 구미시 선산읍 완전리253,온누리상품권,Y,Y
금오시장,경상북도 구미시 원평동 1028-2,경북 구미시 원평동 1028-2 ,온누리상품권,Y,Y
구미중앙시장,경상북도 구미시 원평동 117-20,경북 구미시 원평동 117-20 ,온누리상품권,Y,Y
종합제일시장,경상북도 구미시 원평동 118-31,경북 구미시 원평동 118-31 ,온누리상품권,Y,N
현대유통쇼핑센타,경상북도 구미시 원평동 119-2,경북 구미시 원평동 119-2 ,온누리상품권,Y,Y
구미종합상가,경상북도 구미시 월평동 119-15,경북 구미시 원평동 119-15,온누리상품권,Y,N
구미산업유통단지,경상북도 구미시 임수동 92-9,경북 구미시 임수동 92-9 ,온누리상품권,Y,Y
장천시장,경상북도 구미시 장천면 상장4길 14-3,경북 구미시 장천면 상장리 919-24,온누리상품권,Y,N
신평전통시장,경상북도 구미시 칠성로 6길 48,경북 구미시 신평동 150-4,온누리상품권,Y,N
해평공설시장,경상북도 구미시 해평면 낙성리 149-4,경북 구미시 해평면 낙성리 149-4,온누리상품권,Y,N
형곡시장프라자,경상북도 구미시 형곡동 147-1,경북 구미시 형곡동 147-1,온누리상품권,Y,Y
형곡중앙시장,경상북도 구미시 형곡동 321,경북 구미시 형곡동 321,온누리상품권,Y,Y
인동시장,경상북도 구미시 황상동 307-42,경북 구미시 황상동 307-42,온누리상품권,Y,Y
군위전통시장,경상북도 군위군 서부리 군위읍 중앙5길 12-8,경북 군위군 군위읍 서부리16-5,온누리상품권,Y,Y
소보시장,경상북도 군위군 소보면 송원32길 34,경북 군위군 소보면 송원리722,없음,Y,N
우보시장,경상북도 군위군 우보면 이화3길 6-15,경북 군위군 우보면 이화리1282,없음,Y,N
의흥시장,경상북도 군위군 의흥면 읍내5길 7,경북 군위군 의흥면 읍내리594-1,없음,Y,Y
평화시장,경상북도 김천시 평화동 334-6,경북 김천시 평화동 259-1,온누리상품권,Y,Y
황금시장,경상북도 김천시 황금동31-1,경북 김천시 황금동 황금동 19-7,온누리상품권,Y,Y
가은아자개시장,경상북도 문경시 가은읍 가은5길 7,경북 문경시 가은읍 왕능리 275-26,온누리상품권,Y,Y
문경시장,경상북도 문경시 문경읍 문희로 41-15,경북 문경시 문경읍 하리 88-2,온누리상품권,Y,Y
신흥시장,경상북도 문경시 신흥시장길 19,경북 문경시 흥덕동 794-1,온누리상품권,Y,Y
(유)중앙시장,경상북도 문경시 중앙로 87,경북 문경시 점촌동 197-14,온누리상품권,Y,Y
중앙시장,경상북도 문경시 중앙시장1길 12,경북 문경시 점촌동 159-2,온누리상품권,Y,Y
봉화상설시장,경상북도 봉화군 봉화읍 신시장 1길 4,경북 봉화군 봉화읍 내성리 394-1,온누리상품권,Y,Y
춘양시장,경상북도 봉화군 춘양면 의양로 2길 18,경북 봉화군 춘양면 의양리 361-18,온누리상품권,Y,N
공성시장,경상북도 상주시 공성면 옥산4길 14,경북 상주시 공성면 옥산리 177-1,없음,Y,Y
은척시장,경상북도 상주시 은척 면 봉중 1길 16-4,경북 상주시 은척면 봉중리383-2,온누리상품권,Y,Y
상주중앙시장,경상북도 상주시 중앙시장 길 15,경북 상주시 남성동 85-10,온누리상품권,Y,Y
풍물시장,경상북도 상주시 풍물시장길 16,경북 상주시 남성동 113-28 ,온누리상품권,N,Y
함창시장,경상북도 상주시 함창읍 합창 시장 1길 45-14,경북 상주시 함창읍 구향리 122,온누리상품권,Y,Y
화령시장,경상북도 상주시 화서면 화령남 6길 20,경북 상주시 화서면 신봉리 128-7,온누리상품권,Y,Y
벽진시장,경상북도 성주군 벽진면 수촌길 12,경북 성주군 벽진면 수촌리810-1 ,없음,Y,Y
성주시장,경상북도 성주군 성주읍 시장길 27-10,경북 성주군 성주읍 경산리 718 ,온누리상품권,Y,Y
