거리명,거리소개,소재지도로명,소재지지번주소,관리기관전화번호
강풀만화거리,지역 유명 작가의 만화(웹툰)과 마을 이야기를공공미술로 재구성한 이야기 골목길,서울시 강동구 천호대로 164길 4-1,서울특별시 강동구 성내동 160-18번지,3425-6130
꽃바위 외국인 특화거리,"내국인 및 외국인의 자연스러운 방문과 활발한 문화교류의 글로벌 문화거리를 조성하고, 체계적인 가로정비를 통해 안전하고 쾌적한 거리를 조성하여 질높은 관광체험 제공 및 체류시간 연장으로 지역경제 활성화 유도",울산광역시 동구 남진길 52,울산광역시 동구 방어동 1146-33번지,052-209-3368
유엔참전기념거리,유엔평화문화특구 내 테마거리,부산광역시 남구 유엔평화로,부산광역시 남구 대연동 891-23,051-607-3651
왕십리여행자거리,모텔촌에 한국의 고유한 정서(대동여지도여행을 모티브로 로고제작)를 가미한 도로정비 및 담장특화를 통해 지역주민과 여행자들에게 매력적인 거리로 조성,서울특별시 성동구 왕십리로20길,서울특별시 성동구 왕십리도선동,02-2286-5193
마장동 축산물 특화 거리,"마장축산물 시장을 지역의 역사와 문화, 관광자원과 연계하여 지역주민들과 관광객이  즐길 수 있는 거리로 조성",서울특별시 성동구 마장로31길 40,서울특별시 성동구 마장동 510-3,02-2281-4446
문화의 거리,시장활성화+특색있는 거리 조성+보행환경개선를 위해 2009년도 조성,경상북도 영주시 구성로350번길,경상북도 영주시 영주동 377-3,054-639-6662
홍주골 음식문화 거리,70여곳의 음식점이 밀집되어 있는 T자형 음식문화거리,충청남도 홍성군 홍성읍 법원로 23,충청남도 홍성군 홍성읍 월산리 895-3,041-630-9015
웨딩거리,웨딩관련 업종의 상가가 밀집,전라북도 전주시 완산구 전라감영 2길+3길+4길+5길,전라북도 전주시 완산구 중앙동3가 102-5,063-281-5325
차이나거리,중국 소주시와 자매결연을 기념으로 조성된 거리,전라북도 전주시 완산구 전라감영 2길,전라북도 전주시 완산구 다가동1가 44-1,063-281-5325
솔동산문화의거리,"지역문화와 관광객 유치를 위해 가로등, 간판, 공원, 공연무대 등 도로 및 문화시설물을 정비 확충하여 가장 걷고 싶게 조성된 거리이다",제주특별자치도 서귀포시 솔동산로 2,제주특별자치도 서귀포시 서귀동 580-3,064-760-2485
녹동 음식특화거리,녹동구항 음식거리 일부를 유럽풍의 옥외음식 영업가능 거리로 조성,전라남도 고흥군 도양읍 비봉로 177,전라남도 고흥군 도양읍 봉암리 2786,061-830-5442
상주읍성 문화거리,옛 읍성의 서쪽길로 문화의 거리 조성,경상북도 상주시 서성3길,경상북도 상주시 서성동 92-1,054-537-7590
중촌동 맞춤거리 상점가,중촌동 옷맞춤 특화거리,대전광역시 중구 동서대로 1421번길 33(중촌동),대전광역시 중구 중촌동 411-5,042-606-7223
충무자동차거리 상점가,자동차 특화거리,대전광역시 중구 충무로 122-1(대사동),대전광역시 중구 대사동 69-46,042-606-7223
오류동 특화거리 상점가,음식특화거리,대전광역시 중구 계룡로 874번길 13(오류동),대전광역시 중구 오류동 153-1,042-606-7223
영천한방테마거리,영천한의마을 한방테마거리는 한방도시 영천에 대한 다양한 정보를 얻을 수 있는 영천 홍보관과 사상체질 진단체험을 통해 자신의 체질 정보를 확인하고 체험자에게 맞는 한약재와 약선음식 정보를 알아볼 수 있는 한의원과 옛날 한약방 한방체험실로 구성되어 있습니다.,경상북도 영천시 천문로 485,경상북도 영천시 화룡동 128,054-330-2750
삼산디자인거리,울산의신흥 쇼핑메카로 음식점+카페+책방+악세사리점 등 쇼핑과 먹거리에 대한 정보를 제공받을 수있음.,울산광역시 남구 삼산중로74,울산광역시 남구 삼산동 1527-1,052-226-3533
바보디자인거리,울산대학교의 대학로로 음식점+카페+책방+악세사리점 등 쇼핑과 먹거리에 대한 정보를 제공받을 수있음.,울산광역시 남구 대학로84,울산광역시 남구 무거동 632,052-226-3533
왕생이길(1구간),달동문화공원과 연계한 문화 예술거리로 카페와 음식점이 형성되어 있음,울산광역시 남구 왕생로,울산광역시 남구 달동 1323,052-226-3533
왕생이길(2구간),울산의 역사+문화가 어우러진 예술이 어우러진 거리로 다양한 음식점과 웨딩관련 상점들이 조성되어 있음,울산광역시 남구 왕생로,울산광역시 남구 달동 1368-5,052-226-3533
창동 먹자골,음식점 특화거리,경기도 여주시 세종로 40번길 15,경기도 여주시 창동 146-3,031-887-2272
광양불고기 특화거리,광양숯불구이 축제가 열리는 서천변 일대 특화거리,전라남도 광양시 서천1길,전라남도 광양시 광양읍 칠성리 983,061-797-4052
음식문화특화거리,물왕동 주변 1.5KM 연음식 테마로드로 조성,"경기도 시흥시 동서로811번길, 경기도 시흥시 동서로857번길",경기도 시흥시 물왕동 151,031-310-2484
한의약거리,한약재  판매점포 및 한의원등이 밀집해 있는 거리로 한의약에 대한 정보를 제공받을 수있음.,대전광역시 동구 중앙로 203번길 8,대전광역시 동구 중동 64-19,042-251-4613
인쇄거리,예전 출판업이 번성했을 당시 지정되었던 거리로 인쇄업체가 밀집하여 있음.,대전광역시 동구 태전로 18,대전광역시 동구 중동 21-26,042-251-4613
한복거리,중앙시장활성화구역안에 밀집해 있는 한복과 원단등을 주로 판매하는 구역,대전광역시 동구 중앙로 200번길 104,대전광역시 동구 원동 85-26,042-251-4613
공구거리,"대전역주변 구역으로 각종 공구 ,철물들을 판매하는 업체가 밀집",대전광역시 동구 대전로 774,대전광역시 동구 원동 20-13,042-251-4613
건설건축자재거리,건설건축자재를 판매하는 업체가 밀집하여 있는 구역,대전광역시 동구 충무로 190-24,대전광역시 동구 인동 44-2,042-251-4613
중부건어물,중동지역 건어물 판매상이 밀집,대전광역시 동구 813번길 53,대전광역시 동구 중동 30-3,042-251-4613
안산상록수가구거리,안산시 유일의 가구유통매장 밀집지역으로 다양한 가구를 전시 및 할인 판매하고 있음,경기도 안산시 상록구 용신로 431,경기도 안산시 상록구 본오동 1114-10,031-481-2684
안산패션타운,"안산시 사동에 소재한 의류 상설할인매장으로 의류 유통업체가 다수 밀집되어 있어, 상시할인를 진행중에 있음",경기도 안산시 상록구 삼리로 49,경기도 안산시 상록구 사동 1530,031-481-2684
안산패션일번가,안산시 고잔동에 위치한 의류상설할인매장으로 다양한 종류의 의류 유통업체가 입점하여 상시할인중인 장소임,경기도 안산시 단원구 중앙대로 907,경기도 안산시 단원구 고잔동 541,031-481-2684
광명패션문화의 거리,패션유통업체밀집지역 (총 330M 길이에 50개소 점포가 있으며 다양한 패션 아이템을 쇼핑할 수 있는 장소),경기도 광명시 오리로,경기도 광명시 광명동 158-526,02-2687-5578
광명가구문화의 거리,가구유통업체밀집지역 (총 960M 길이에 30여개 가구점이 위치하고 있으며 필요한 가구를 비교하며 구매할 수 있고 전시장을 언제나 이용하며 소핑할 수 있다.),경기도 광명시 광명로,경기도 광명시 광명동 101-2,02-2066-8848
밤일 음식문화의 거리,"밤일마을의 유례는 밤나무가 많고 해가 잘 들어서 살기 좋은 마을로 전해지며 맛있고 정갈한 식당이 많은 곳으로 2013.03.26. 광명시 최초로 경기도 음식문화개선 특화거리로 지정 된 거리 입니다.총 점포수는 60여개로 1,500M에 걸쳐 있으며 음식문화를 선도하는 거리",경기도 광명시 밤일로,경기도 광명시 하안동 839-4,02-2680-5484
광명음식문화의거리,"광명사거리역을 중심으로 지하철 유동인구와 재래시장, 패션,가구 거리와 인접하고 대형마트, 영화관도 인접해 있어서 젊은층과 지역 주민들이 골고루 이용하는 상권으로 구도심의 먹거리 중심 상권",경기도 광명시 오리로,경기도 광명시 광명동 158-976,02-2680-5484
월미도 특화거리,인천대교와 서해바다의 경관을 활용한 휴게 및 문화거리,인천광역시 중구 월미문화로 16 ~ 95,인천광역시 중구 북성동1가 98-6,032-760-7502
천지동 아랑조을거리,아랑조을거리는 알아서 좋을 거리 라는 뜻의 제주어로. 2013년 농림축산식품부 지정 우수외식업지구에 포함된 맛집특화거리이다.,제주특별자치도 서귀포시 중앙로 47번길 10,제주특별자치도 서귀포시 서귀동 310-20,064-710-3078
명동로/이중섭거리,많은 작품을 남긴 천재 이중섭 화백의 기념 미술관이 있는 거리이다.,제주특별자치도 서귀포시 명동로 19,제주특별자치도 서귀포시 서귀동 417-12,064-710-3078
방어축제거리,국토 최남단 방어축제특화거리는 맑고 깨끗한 모슬포 지역에서 생산되는 농산물과 마라도. 가파도 청정해역에서 잡히는 자연산 활어와 해산물을 사계절 내내 만날 수 있는 거리이다.,제주특별자치도 서귀포시 대정읍 신영로72번길 14,제주특별자치도 서귀포시 대정읍 하모리 772-9,064-710-3078
칠십리음식특화거리,서귀포의 칠십리 해안을 따라 조성된 음식특화거리로서. 청정 제주 바닷가에서 갓 낚아 올린 싱싱한 재료로 만든 제주의 향토음식을 만나 볼 수 있는 곳이다.,제주특별자치도 서귀포시 칠십리로 119,제주특별자치도 서귀포시 서귀동 31-12,064-710-3078
담빛길,"과거 죽물시장에서부터 시작된 죽공예의 전통문화유산, 관방천과 대숲이 어우러지는 생태문화가 공존되어 있는 담양의 원도심 구간",전라남도 담양군 담양읍 객사3길 1,전라남도 담양군 담양읍 객사리 194-3,061-380-2802
생연음식문화특화거리,동두천 생연음식문화거리는 동두천의 생골과 연동마을의 첫글자를 따서 생연이라고 하였고 고구려시대부터 있었던 아담한 연못에서 유래하였습니다 생연로에 오시면 동두천의 역사를 간직한 중앙에 위치하고 있으며 이곳에는 내고향 최고의 맛집에 소개된 설렁탕과 한우구이를 비롯한 횟집과 삼계탕 중국음식으로 특이한 북경면등 다양한 음식업소가 밀집된 동두천의 역사이자 문화를 지닌 지역입니다,경기도 동두천시 생연로 172,경기도 동두천시 생연동 587-16,031-860-2727
보산동 외국인관광특구 특화거리,"보산동 외국인관광특구 특화거리는 동두천에 미군이 주둔하면서 자연발생적으로 조성된 이국적인 거리이며, 이 거리에 공방, 음악 등이 자리를 잡으며 세계의 다양한 볼거리, 즐길거리, 먹을거리가 있는 특화거리입니다.",경기도 동두천시 상패로216번길 42,경기도 동두천시 보산동 429-4,031-860-2727
캠프보산월드푸드스트리트,보산동 외국인 관광특구의 경제 활성화를 위하여 동두천시와 경기문화재단이 협업하여 다양한 세계음식을 체험할 수 있는 음식문화 거리입니다.,경기도 동두천시 상패로216번길 42,경기도 동두천시 보산동 429-4,031-860-2275
청도추어탕거리,"물이 맑기로 유명한 청도의 그 동맥인 청도천, 동창천에서 자생하는 황동어, 꺽지, 메기 등 잡어와 미꾸라지를 섞어 조리하는 웰빙 향토음식점들이  40년, 50년의 역사를 자랑하며 운영하고 있음",경상북도 청도군 청도읍 청화로 202-3,경상북도 청도군 청도읍 고수리 969-20,054-370-6172
맛고을길,서구청 후문을 중심으로 형성된 음식문화 시범거리,인천광역시 서구 탁옥로33번길 16,인천광역시 서구 심곡동 243,032-560-4322
검단먹거리타운,검단사거리역을 중심으로 형성된 음식문화 시범거리,인천광역시 서구 완정로 191,인천광역시 서구 왕길동 635-4,032-560-4322
루원음식문화거리,루원시티 상가지역을 중심으로 형성된 음식문화 시범거리,인천광역시 서구 봉오재3로94번길 일원,인천광역시 서구 가정동 619-1,032-560-4322
젊음의거리,"중앙전통시장과 연결되어 있으며 울산지역에서 젊은층(10~30대)의 유동인구가 가장 많은 지역이다.  ○ 인근에 대형 주차장이 다수 위치하고 있어 접근성이 좋으며, 전구간이 아케이드가 설치되어 있고,각종 조형물과 볼거리가 많은 지역이며, 대형영화관과 쇼핑 아울렛이 위치하고 있다.",울산광역시 중구 젊음의거리 49,울산광역시 중구 성남동 219-77,052-290-3310
보세거리,"중구의 아케이드를 최초로 설치한 보세품목 전문 특화거리로 여성의류, 아동의류, 잡화품목이 분포하여 있다.",울산광역시 중구 먹자거리 25,울산광역시 중구 성남동 247-2,052-290-3320
학성가구전문거리,"가구전문 특화거리로 1980년대부터 매장마련이 용이하며 지가가 저렴한 가구점들이 모여들어 형성되었다. 법령상 근거가 마련된 이후 16년도에 상점가 등록이 되었으며, 울산 대표 가구거리로 많은 고객들이 방문하고 있다.",울산광역시 중구 가구거리 13,울산광역시 중구 학성동 207-1,052-290-3310
학익법조타운먹거리촌,미추홀구특색음식거리,인천광역시 미추홀구 소성로185번길 23,인천광역시 미추홀구 학익동 240-38,032-880-7997
용현동물텀벙이거리,미추홀구특색음식거리,인천광역시 미추홀구 독배로 403,인천광역시 미추홀구 용현동 509-166,032-880-7997
석바위음식거리,미추홀구특색음식거리,인천광역시 미추홀구 석바위로 148-1,인천광역시 미추홀구 주안동 999-1,032-880-7997
계양맛길 음식문화시범거리,"계양맛길에는 한식,일식,중식 등 각종 음식점이 밀집해 있어 입맛따라 메뉴를 선택할 수 있습니다. 맛길주변에 미래광장과 공원이 있어 맛있는 음식을 먹은 후 산책을 해도 좋습니다.",인천광역시 계양구 오조산로,인천광역시 계양구 계산동 1102,032-450-5424
퀸스로드 의류패션 명물거리,정통 유럽형 아울렛 단지로 쇼핑과 문화를 즐기는 복합문화공간,대구광역시 서구 평리로35길 18-8,대구광역시 서구 중리동 1136-167,053-663-2654
서부오味가味거리,전통시장을 현대화하여 다양한 매뉴의 음식점 운영,대구광역시 서구 달서로 144-8,대구광역시 서구 비산동 434-14,053-663-2654
원대가구 명물거리,유명브랜드 가구 및 사무용가구 전시 판매,대구광역시 서구 원대동1가 고성로 90,대구광역시 서구 원대동1가 173,053-663-2654
큰장길 침구류 명물거리,침구류 상점 운영,대구광역시 서구 큰장로 81,대구광역시 서구 내당동 1008-46,053-663-2654
문화의 거리,"도심속 문화예술과 쇼핑, 보행자 중심의 거리",강원도 원주시 중앙로 59,강원도 원주시 중앙동 204-2,033-734-8881
짬뽕특화거리,전통과 특색있는 군산의 짬뽕 관광자원을 활용 특화거리 조성,전라북도 군산시 동령길 57,전라북도 군산시 장미동 21-5,063-454-3413
함양건강100세음식지구,상림공원 주변 조성된 음식지구로 지역농산물을 활용한 건강한 음식을 손님들에게 서비스 함,경상남도 함양군 함양읍 필봉산길 49,경상남도 함양군 함양읍 교산리 1069-4,055-960-8332
문화의 거리,"도심속 문화예술과 쇼핑, 보행자 중심의 거리",강원도 원주시 중앙로 59,강원도 원주시 중앙동 204-2,033-734-8881
지리산마천흑돼지촌 음식특화거리,마천면 일원 조성된 흑돼지전문점 음식지구로 지리산 흑돼지를 활용한 건강한 음식을 손님들에게 서비스 함,경상남도 함양군 마천면 당흥길 15,경상남도 함양군 마천면 가흥리 504-1,055-960-8332
라온제나,금강하구언 강가에 카페와 레스토랑 횟집이 밀집되어 있는 음식문화 특화단지임,충청남도 서천군 장항읍 장산로,충청남도 서천군 마서면 당선리 93-4,041-950-4079
공구의거리,다양성과 전문성을 갖춘 공구 특화 상점가,광주광역시 북구 하남대로,광주광역시 북구 운암동 1428,062-410-6547
자동차의거리,"차량용부품, 수리 및 튜닝에 대한 모든것을 찾을 수 있는 자동차 관련 상점가",광주광역시 북구 자동차로,광주광역시 북구 임동 11-4,062-410-6547
건축자재의거리,건설/건축에 필요한 모든 자재를 구할 수 있는 자재 전문 거리,광주광역시 북구 독립로,광주광역시 북구 중흥동 662-2,062-410-6547
패션의거리,패션과 문화를 함께 누릴 수 있는 광주 최대 의류업체 밀집거리,광주광역시 북구 설죽로,광주광역시 북구 용봉동 1371-1,062-410-6547
오리요리의거리,광주 명물음식 오리탕 전문업소가 밀집된 대표거리,광주광역시 북구 경양로,광주광역시 북구 유동 102-2,062-410-6547
일곡동 원스푸드거리,원스푸드 특화거리로 남은음식 재사용 없는 좋은식단 자율 실천업소 조성거리,광주광역시 북구 일곡마을로,광주광역시 북구 일곡동 398-1,062-410-6699
임동 야구의거리,타이거즈 전설이 되살아나는 야구의 거리,광주광역시 북구 임동 서림로,광주광역시 북구 임동 171,062-410-6753
양산동 음식문화의거리,구 양산시장 활성화를 위한 음식문화의 거리,광주광역시 북구 하서로,광주광역시 북구 양산동 284-53,062-410-6699
두암동 먹자골목,북구 대표 먹자골목을 특화거리로 지정하여 거리브랜드 구축,광주광역시 북구 밤실로,광주광역시 북구 두암동 309-5,062-410-6699
이태원세계음식거리,"예쁘고 독특한 카페, 색다른 분위기의 루프탑, 그리고 미국, 이탈리아, 스페인, 일본, 인도, 태국, 베트남, 중국을 비롯한 한국과 이슬람 음식을 파는 식당과 술집들이 골목 양쪽에 늘어선 거리. 개성이 넘치는 가게들이 밀집된 거리는 순간순간 세계 각국을 이동하는 기분을 느낄 수 있다",서울특별시 용산구 이태원동 108-3,서울특별시 용산구 이태원동 108-3,02-2199-6114
베트남퀴논거리,한국 용산구와 베트남 빈딩성 퀴논(꾸이년)시의 우호관계를 상징하는 거리,서울특별시 용산구 이태원로20길 2-12,서울특별시 용산구 이태원동 64-56,02-2199-6114
경리단길,"번화가라 하기엔 조그마한 편이고, 이태원동에 속한 지역이지만 이태원과는 이질적인 분위기 때문에 유명했었다. 과거 육군중앙경리단이 이 길 초입에 있어 경리단길이라는 이름이 붙었다.",서울특별시 용산구 회나무로 45-1,서울특별시 용산구 이태원동 211-30,02-2199-6114
할랄음식문화거리,"예전의 모습 그대로 유지하면서 다양한 공방들과 수제품 및 샵들이 예쁘게 들어서기 시작했으며, 할랄음식 문화거리가 무슬림 관광객은 물론 할랄 음식을 찾는 관광객들이나 새로운 경험을 원하는 관광객들에게도 편의를 제공할 수 있다.",서울특별시 용산구 우사단로10길 23,서울특별시 용산구 이태원동 137-62,02-2199-6114
